Sample_id,Sample_label
362,1
363,1
364,2
365,1
366,3
367,1
368,1
369,1
370,6
371,1
372,2
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,3
387,3
388,1
389,1
390,2
391,1
392,1
393,1
394,1
395,4
396,7
397,1
398,1
399,8
400,1
401,2
402,1
403,4
404,2
405,2
406,2
407,1
408,1
409,1
410,1
411,1
412,1
413,8
414,1
415,2
416,1
417,9
418,1
419,1
420,1
421,1
422,2
423,1
424,1
425,1
426,4
427,2
428,1
429,3
430,1
431,1
432,1
433,1
434,4
435,1
436,1
437,3
438,1
439,5
440,1
441,1
442,1
443,1
444,1
445,3
446,3
447,1
448,1
449,1
450,1
451,1
452,2
453,1
454,1
455,1
456,1
457,3
458,8
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,8
471,1
472,1
473,2
474,1
475,2
476,1
477,1
478,6
479,1
480,1
481,1
482,1
483,4
484,1
485,1
486,3
487,1
488,1
489,5
490,1
491,1
492,5
493,1
494,1
495,2
496,1
497,3
498,1
499,1
500,1
501,4
502,1
503,1
504,1
505,1
506,1
507,1
508,8
509,2
510,1
511,1
512,1
513,1
514,1
515,3
516,5
517,2
518,4
519,1
520,1
521,3
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,2
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,3
540,1
541,1
542,3
543,1
544,1
545,1
546,1
547,2
548,1
549,1
550,6
551,1
552,4
553,1
554,1
555,8
556,2
557,1
558,7
559,1
560,1
561,1
562,1
563,2
564,1
565,1
566,1
567,1
568,10
569,2
570,4
571,8
572,1
573,1
574,1
575,1
576,3
577,1
578,1
579,1
580,2
581,3
582,1
583,1
584,1
585,2
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,2
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,6
614,3
615,1
616,1
617,1
618,1
619,2
620,1
621,1
622,1
623,1
624,1
625,2
626,1
627,1
628,1
629,1
630,4
631,1
632,1
633,2
634,1
635,1
636,4
637,3
638,1
639,1
640,1
641,1
642,4
643,8
644,8
645,1
646,1
647,2
648,1
649,1
650,1
651,3
652,1
653,6
654,1
655,2
656,1
657,1
658,1
659,1
660,4
661,3
662,1
663,1
664,2
665,1
666,1
667,5
668,1
669,3
670,8
671,1
672,1
673,1
674,1
675,8
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,2
690,1
691,1
692,1
693,1
694,1
695,8
696,1
697,1
698,1
699,1
700,1
701,2
702,2
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,4
713,1
714,1
715,1
716,1
717,1
718,9
719,1
720,1
721,1
722,1
723,8
724,2
725,1
726,1
727,3
728,1
729,1
730,1
731,1
732,1
733,1
734,4
735,1
736,1
737,1
738,2
739,1
740,1
741,1
742,1
743,1
744,1
745,4
746,3
747,4
748,1
749,1
750,1
751,1
752,3
753,1
754,1
755,4
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,8
770,1
771,1
772,1
773,1
774,1
775,1
776,4
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,2
788,3
789,1
790,1
791,1
792,1
793,1
794,3
795,1
796,1
797,1
798,1
799,1
800,3
801,1
802,1
803,6
804,1
805,1
806,2
807,1
808,1
809,8
810,1
811,1
812,1
813,2
814,1
815,2
816,1
817,6
818,1
819,1
820,1
821,1
822,1
823,2
824,1
825,1
826,1
827,1
828,1
829,1
830,2
831,1
832,1
833,8
834,8
835,8
836,1
837,1
838,1
839,1
840,1
841,1
842,1
843,1
844,2
845,1
846,1
847,1
848,1
849,1
850,1
851,2
852,1
853,1
854,1
855,1
856,1
857,1
858,1
859,1
860,1
861,1
862,1
863,2
864,1
865,1
866,3
867,1
868,1
869,1
870,2
871,1
872,1
873,1
874,1
875,9
876,1
877,1
878,1
879,1
880,1
881,2
882,4
883,2
884,2
885,1
886,2
887,4
888,1
889,1
890,1
891,1
892,4
893,1
894,1
895,1
896,1
897,1
898,1
899,2
900,1
901,1
902,2
903,2
904,1
905,1
906,1
907,1
908,8
909,1
910,1
911,1
912,1
913,1
914,1
915,1
916,1
917,1
918,4
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,1
929,9
930,1
931,2
932,1
933,2
934,2
935,1
936,1
937,1
938,5
939,5
940,1
941,5
942,1
943,1
944,6
945,2
946,1
947,1
948,1
949,2
950,2
951,1
952,1
953,1
954,1
955,1
956,1
957,1
958,1
959,1
960,1
961,2
962,1
963,1
964,1
965,6
966,1
967,1
968,1
969,5
970,1
971,1
972,1
973,1
974,1
975,3
976,3
977,1
978,2
979,9
980,1
981,2
982,1
983,1
984,1
985,1
986,1
987,4
988,1
989,1
990,2
991,1
992,1
993,1
994,1
995,1
996,1
997,1
998,1
999,3
1000,1
1001,1
1002,1
1003,1
1004,9
1005,2
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,4
1013,2
1014,1
1015,1
1016,1
1017,1
1018,1
1019,1
1020,1
1021,1
1022,3
1023,1
1024,1
1025,1
1026,3
1027,1
1028,1
1029,1
1030,1
1031,3
1032,2
1033,1
1034,1
1035,1
1036,4
1037,1
1038,9
1039,1
1040,6
1041,4
1042,1
1043,1
1044,1
1045,9
1046,1
1047,1
1048,3
1049,1
1050,1
1051,1
1052,1
1053,2
1054,7
1055,1
1056,1
1057,1
1058,2
1059,1
1060,1
1061,5
1062,1
1063,1
1064,2
1065,2
1066,1
1067,1
1068,1
1069,1
1070,3
1071,1
1072,1
1073,1
1074,1
1075,1
1076,5
1077,2
1078,1
1079,5
1080,4
1081,1
1082,1
1083,1
1084,2
1085,1
1086,1
1087,1
1088,2
1089,10
1090,3
1091,1
1092,1
1093,1
1094,6
1095,1
1096,1
1097,2
1098,1
1099,1
1100,1
1101,1
1102,1
1103,1
1104,1
1105,2
1106,4
1107,1
1108,1
1109,1
1110,1
1111,10
1112,1
1113,6
1114,1
1115,1
1116,1
1117,3
1118,9
1119,1
1120,1
1121,1
1122,1
1123,2
1124,4
1125,1
1126,1
1127,1
1128,1
1129,9
1130,1
1131,4
1132,3
1133,1
1134,1
1135,1
1136,1
1137,1
1138,1
1139,1
1140,1
1141,1
1142,4
1143,1
1144,2
1145,1
1146,2
1147,1
1148,1
1149,2
1150,1
1151,1
1152,1
1153,1
1154,1
1155,2
1156,1
1157,1
1158,1
1159,1
1160,1
1161,2
1162,3
1163,1
1164,1
1165,4
1166,2
1167,1
1168,1
1169,1
1170,1
1171,1
1172,2
1173,1
1174,1
1175,2
1176,1
1177,5
1178,2
1179,1
1180,1
1181,1
1182,2
1183,1
1184,1
1185,5
1186,2
1187,1
1188,1
1189,1
1190,1
1191,1
1192,6
1193,1
1194,1
1195,1
1196,1
1197,3
1198,1
1199,3
1200,1
1201,2
1202,1
1203,3
1204,5
1205,1
1206,9
1207,8
1208,2
1209,2
1210,4
1211,3
1212,1
1213,1
1214,1
1215,1
1216,1
1217,1
1218,6
1219,1
1220,1
1221,1
1222,2
1223,1
1224,1
1225,1
1226,1
1227,1
1228,1
1229,1
1230,1
1231,1
1232,1
1233,2
1234,2
1235,1
1236,1
1237,8
1238,1
1239,1
1240,1
1241,2
1242,1
1243,3
1244,1
1245,1
1246,1
1247,1
1248,1
1249,1
1250,1
1251,1
1252,1
1253,1
1254,1
1255,1
1256,1
1257,1
1258,1
1259,1
1260,5
1261,1
1262,1
1263,1
1264,1
1265,1
1266,1
1267,1
1268,1
1269,1
1270,1
1271,1
1272,4
1273,1
1274,1
1275,1
1276,1
1277,1
1278,1
1279,1
1280,1
1281,8
1282,3
1283,9
1284,1
1285,1
1286,1
1287,1
1288,1
1289,1
1290,1
1291,1
1292,1
1293,1
1294,1
1295,1
1296,7
1297,1
1298,1
1299,1
1300,2
1301,1
1302,8
1303,1
1304,1
1305,1
1306,1
1307,1
1308,1
1309,1
1310,1
1311,3
1312,6
1313,1
1314,1
1315,1
1316,2
1317,1
1318,2
1319,1
1320,1
1321,1
1322,1
1323,1
1324,1
1325,2
1326,1
1327,1
1328,1
1329,1
1330,8
1331,1
1332,1
1333,5
1334,1
1335,1
1336,1
1337,2
1338,7
1339,1
1340,1
1341,1
1342,1
1343,1
1344,1
1345,9
1346,5
1347,1
1348,1
1349,1
1350,1
1351,1
1352,2
1353,1
1354,4
1355,10
1356,2
1357,1
1358,1
1359,1
1360,1
1361,4
1362,1
1363,1
1364,1
1365,1
1366,1
1367,1
1368,3
1369,2
1370,1
1371,1
1372,1
1373,1
1374,1
1375,1
1376,5
1377,1
1378,1
1379,1
1380,6
1381,1
1382,1
1383,1
1384,3
1385,8
1386,1
1387,1
1388,9
1389,1
1390,1
1391,1
1392,1
1393,1
1394,1
1395,1
1396,1
1397,1
1398,1
1399,3
1400,1
1401,1
1402,1
1403,1
1404,2
1405,5
1406,1
1407,4
1408,1
1409,1
1410,1
1411,1
1412,1
1413,1
1414,1
1415,1
1416,1
1417,1
1418,1
1419,6
1420,1
1421,1
1422,1
1423,1
1424,1
1425,1
1426,1
1427,1
1428,2
1429,1
1430,1
1431,1
1432,1
1433,1
1434,1
1435,1
1436,3
1437,2
1438,1
1439,3
1440,1
1441,1
1442,1
1443,1
1444,1
1445,1
1446,2
1447,1
1448,2
1449,1
1450,1
1451,1
1452,1
1453,1
1454,1
1455,1
1456,1
1457,1
1458,1
1459,6
1460,1
1461,1
1462,1
1463,1
1464,9
1465,1
1466,3
1467,1
1468,4
1469,4
1470,1
1471,1
1472,1
1473,1
1474,1
1475,1
1476,3
1477,1
1478,1
1479,4
1480,1
1481,1
1482,3
1483,1
1484,3
1485,1
1486,4
1487,1
1488,1
1489,1
1490,1
1491,1
1492,4
1493,1
1494,9
1495,1
1496,2
1497,1
1498,2
1499,1
1500,2
1501,9
1502,1
1503,1
1504,1
1505,1
1506,1
1507,1
1508,1
1509,1
1510,1
1511,1
1512,2
1513,1
1514,1
1515,1
1516,1
1517,7
1518,1
1519,1
1520,1
1521,1
1522,8
1523,1
1524,1
1525,5
1526,1
1527,1
1528,1
1529,1
1530,1
1531,1
1532,1
1533,1
1534,2
1535,1
1536,1
1537,1
1538,1
1539,1
1540,2
1541,1
1542,1
1543,1
1544,1
1545,2
1546,1
1547,1
1548,1
1549,1
1550,1
1551,1
1552,1
1553,1
1554,1
1555,1
1556,1
1557,1
1558,1
1559,1
1560,1
1561,1
1562,2
1563,1
1564,1
1565,1
1566,1
1567,1
1568,3
1569,1
1570,2
1571,2
1572,3
1573,1
1574,3
1575,1
1576,1
1577,3
1578,1
1579,1
1580,1
1581,2
1582,1
1583,1
1584,1
1585,1
1586,8
1587,3
1588,1
1589,1
1590,1
1591,3
1592,1
1593,3
1594,1
1595,3
1596,1
1597,1
1598,4
1599,1
1600,1
1601,1
1602,1
1603,1
1604,3
1605,1
1606,5
1607,8
1608,4
1609,1
1610,1
1611,1
1612,1
1613,1
1614,1
1615,1
1616,1
1617,1
1618,2
1619,1
1620,1
1621,1
1622,1
1623,1
1624,1
1625,2
1626,1
1627,1
1628,1
1629,1
1630,1
1631,3
1632,4
1633,9
1634,1
1635,1
1636,1
1637,1
1638,1
1639,1
1640,3
1641,1
1642,1
1643,1
1644,1
1645,1
1646,1
1647,1
1648,1
1649,1
1650,1
1651,1
1652,1
1653,1
1654,1
1655,1
1656,2
1657,1
1658,1
1659,1
1660,1
1661,2
1662,1
1663,1
1664,3
1665,1
1666,8
1667,1
1668,1
1669,1
1670,1
1671,1
1672,1
1673,1
1674,2
1675,1
1676,1
1677,1
1678,3
1679,6
1680,1
1681,1
1682,1
1683,8
1684,1
1685,1
1686,6
1687,1
1688,1
1689,1
1690,1
1691,5
1692,2
1693,1
1694,3
1695,1
1696,3
1697,2
1698,1
1699,1
1700,1
1701,1
1702,1
1703,1
1704,1
1705,1
1706,7
1707,1
1708,1
1709,1
1710,1
1711,1
1712,1
1713,3
1714,6
1715,1
1716,1
1717,1
1718,1
1719,3
1720,1
1721,2
1722,1
1723,1
1724,1
1725,1
1726,1
1727,1
1728,1
1729,1
1730,1
1731,8
1732,1
1733,1
1734,3
1735,7
1736,1
1737,1
1738,1
1739,1
1740,1
1741,1
1742,1
1743,2
1744,2
1745,2
1746,1
1747,1
1748,1
1749,1
1750,1
1751,1
1752,1
1753,9
1754,1
1755,2
1756,1
1757,1
1758,1
1759,1
1760,1
1761,1
1762,1
1763,1
1764,8
1765,2
1766,3
1767,8
1768,3
1769,1
1770,1
1771,1
1772,1
1773,1
1774,1
1775,3
1776,1
1777,1
1778,1
1779,4
1780,1
1781,3
1782,1
1783,1
1784,1
1785,1
1786,1
1787,1
1788,1
1789,1
1790,1
1791,1
1792,3
1793,3
1794,1
1795,1
1796,1
1797,1
1798,1
1799,1
1800,1
1801,1
1802,8
1803,2
1804,1
1805,1
1806,1
1807,1
1808,1
1809,4
1810,1
1811,1
1812,1
1813,1
1814,1
1815,1
1816,1
1817,1
1818,1
1819,3
1820,2
1821,1
1822,1
1823,1
1824,4
1825,1
1826,3
1827,4
1828,1
1829,1
1830,1
1831,1
1832,5
1833,1
1834,1
1835,2
1836,7
1837,1
1838,1
1839,1
1840,1
1841,1
1842,1
1843,1
1844,6
1845,1
1846,2
1847,1
1848,1
1849,1
1850,1
1851,1
1852,1
1853,1
1854,1
1855,1
1856,1
1857,1
1858,1
1859,2
1860,2
1861,2
1862,1
1863,2
1864,1
1865,1
1866,4
1867,1
1868,1
1869,1
1870,1
1871,1
1872,1
1873,1
1874,1
1875,1
1876,1
1877,1
1878,1
1879,1
1880,1
1881,1
1882,4
1883,3
1884,2
1885,1
1886,1
1887,1
1888,1
1889,2
1890,4
1891,1
1892,2
1893,8
1894,1
1895,1
1896,1
1897,1
1898,1
1899,5
1900,1
1901,1
1902,1
1903,4
1904,1
1905,2
1906,1
1907,2
1908,4
1909,1
1910,1
1911,1
1912,2
1913,1
1914,1
1915,3
1916,1
1917,1
1918,1
1919,1
1920,1
1921,1
1922,1
1923,1
1924,1
1925,1
1926,1
1927,3
1928,1
1929,1
1930,4
1931,1
1932,1
1933,2
1934,6
1935,1
1936,1
1937,1
1938,1
1939,1
1940,1
1941,8
1942,1
1943,1
1944,1
1945,1
1946,2
1947,1
1948,1
1949,3
1950,8
1951,1
1952,3
1953,2
1954,1
1955,1
1956,1
1957,1
1958,1
1959,1
1960,1
1961,1
1962,3
1963,5
1964,1
1965,8
1966,2
1967,3
1968,7
1969,1
1970,4
1971,1
1972,4
1973,1
1974,1
1975,1
1976,1
1977,1
1978,1
1979,1
1980,1
1981,1
1982,1
1983,1
1984,1
1985,2
1986,1
1987,2
1988,1
1989,1
1990,1
1991,1
1992,1
1993,1
1994,1
1995,3
1996,1
1997,1
1998,1
1999,1
2000,1
2001,1
2002,1
2003,2
2004,1
2005,1
2006,1
2007,1
2008,1
2009,1
2010,4
2011,3
2012,10
2013,2
2014,2
2015,3
2016,2
2017,1
2018,1
2019,3
2020,1
2021,1
2022,2
2023,1
2024,1
2025,1
2026,1
2027,1
2028,1
2029,1
2030,1
2031,1
2032,1
2033,1
2034,1
2035,1
2036,1
2037,1
2038,1
2039,1
2040,1
2041,1
2042,8
2043,1
2044,1
2045,2
2046,1
2047,1
2048,1
2049,1
2050,5
2051,1
2052,1
2053,1
2054,1
2055,1
2056,1
2057,6
2058,1
2059,1
2060,1
2061,2
2062,1
2063,1
2064,1
2065,2
2066,10
2067,1
2068,1
2069,8
2070,1
2071,1
2072,6
2073,1
2074,1
2075,1
2076,1
2077,1
2078,1
2079,1
2080,4
2081,1
2082,1
2083,3
2084,1
2085,3
2086,1
2087,1
2088,1
2089,1
2090,1
2091,1
2092,2
2093,1
2094,1
2095,1
2096,3
2097,1
2098,1
2099,1
2100,1
2101,1
2102,1
2103,1
2104,1
2105,2
2106,1
2107,1
2108,1
2109,1
2110,6
2111,1
2112,8
2113,1
2114,1
2115,3
2116,1
2117,1
2118,1
2119,1
2120,2
2121,1
2122,2
2123,1
2124,2
2125,1
2126,1
2127,1
2128,5
2129,1
2130,1
2131,1
2132,1
2133,2
2134,1
2135,1
2136,1
2137,1
2138,3
2139,1
2140,1
2141,1
2142,5
2143,2
2144,1
2145,1
2146,2
2147,3
2148,9
2149,1
2150,1
2151,1
2152,1
2153,4
2154,1
2155,1
2156,1
2157,1
2158,2
2159,1
2160,1
2161,1
2162,2
2163,4
2164,1
2165,1
2166,1
2167,1
2168,1
2169,1
2170,1
2171,1
2172,1
2173,1
2174,3
2175,1
2176,1
2177,1
2178,8
2179,3
2180,1
2181,1
2182,1
2183,1
2184,1
2185,4
2186,1
2187,1
2188,3
2189,1
2190,1
2191,1
2192,1
2193,4
2194,1
2195,6
2196,1
2197,1
2198,1
2199,1
2200,2
2201,1
2202,1
2203,1
2204,9
2205,1
2206,1
2207,1
2208,1
2209,1
2210,8
2211,2
2212,1
2213,1
2214,7
2215,1
2216,3
2217,1
2218,1
2219,1
2220,2
2221,1
2222,1
2223,1
2224,3
2225,2
2226,1
2227,1
2228,1
2229,1
2230,1
2231,1
2232,1
2233,4
2234,1
2235,1
2236,4
2237,1
2238,1
2239,1
2240,1
2241,1
2242,1
2243,1
2244,1
2245,1
2246,1
2247,1
2248,3
2249,1
2250,4
2251,1
2252,4
2253,3
2254,3
2255,1
2256,1
2257,1
2258,1
2259,1
2260,1
2261,1
2262,1
2263,1
2264,1
2265,1
2266,1
2267,1
2268,8
2269,7
2270,1
2271,1
2272,1
2273,1
2274,1
2275,3
2276,1
2277,4
2278,3
2279,1
2280,1
2281,1
2282,2
2283,1
2284,1
2285,1
2286,1
2287,1
2288,1
2289,1
2290,1
2291,1
2292,2
2293,1
2294,1
2295,1
2296,1
2297,1
2298,3
2299,1
2300,1
2301,3
2302,1
2303,1
2304,1
2305,9
2306,1
2307,1
2308,2
2309,9
2310,10
2311,1
2312,1
2313,1
2314,1
2315,4
2316,1
2317,2
2318,3
2319,1
2320,9
2321,1
2322,2
2323,1
2324,1
2325,1
2326,1
2327,1
2328,8
2329,1
2330,1
2331,1
2332,1
2333,1
2334,1
2335,1
2336,1
2337,1
2338,1
2339,4
2340,2
2341,1
2342,8
2343,1
2344,2
2345,1
2346,1
2347,1
2348,1
2349,1
2350,1
2351,2
2352,3
2353,4
2354,1
2355,1
2356,1
2357,1
2358,1
2359,3
2360,1
2361,1
2362,1
2363,1
2364,1
2365,1
2366,1
2367,1
2368,8
2369,3
2370,1
2371,4
2372,1
2373,1
2374,1
2375,4
2376,2
2377,1
2378,1
2379,1
2380,8
2381,1
2382,1
2383,1
2384,1
2385,4
2386,1
2387,1
2388,1
2389,4
2390,1
2391,2
2392,1
2393,1
2394,1
2395,1
2396,1
2397,1
2398,1
2399,3
2400,1
2401,1
2402,1
2403,1
2404,1
2405,1
2406,1
2407,8
2408,1
2409,1
2410,1
2411,1
2412,1
2413,1
2414,1
2415,1
2416,10
2417,2
2418,3
2419,2
2420,1
2421,4
2422,1
2423,1
2424,1
2425,8
2426,1
2427,1
2428,1
2429,3
2430,1
2431,1
2432,2
2433,1
2434,1
2435,1
2436,1
2437,1
2438,1
2439,1
2440,1
2441,1
2442,2
2443,1
2444,1
2445,6
2446,5
2447,1
2448,2
2449,2
2450,1
2451,3
2452,8
2453,1
2454,1
2455,1
2456,5
2457,2
2458,1
2459,1
2460,1
2461,1
2462,1
2463,1
2464,4
2465,1
2466,4
2467,3
2468,4
2469,1
2470,1
2471,1
2472,1
2473,1
2474,1
2475,4
2476,1
2477,1
2478,4
2479,1
2480,1
2481,1
2482,1
2483,1
2484,1
2485,2
2486,2
2487,1
2488,1
2489,1
2490,1
2491,1
2492,1
2493,1
2494,2
2495,1
2496,1
2497,3
2498,10
2499,1
2500,1
2501,1
2502,1
2503,1
2504,1
2505,2
2506,1
2507,1
2508,1
2509,1
2510,1
2511,1
2512,1
2513,1
2514,2
2515,2
2516,3
2517,1
2518,1
2519,4
2520,1
2521,1
2522,1
2523,1
2524,3
2525,1
2526,1
2527,1
2528,1
2529,1
2530,1
2531,1
2532,1
2533,1
2534,1
2535,3
2536,1
2537,1
2538,3
2539,1
2540,1
2541,1
2542,1
2543,1
2544,3
2545,1
2546,1
2547,2
2548,1
2549,1
2550,1
2551,1
2552,1
2553,1
2554,2
2555,2
2556,1
2557,1
2558,1
2559,1
2560,1
2561,1
2562,1
2563,1
2564,1
2565,1
2566,1
2567,1
2568,1
2569,2
2570,1
2571,1
2572,6
2573,3
2574,1
2575,1
2576,1
2577,9
2578,1
2579,1
2580,1
2581,1
2582,1
2583,1
2584,1
2585,1
2586,1
2587,1
2588,1
2589,2
2590,1
2591,1
2592,2
2593,1
2594,5
2595,3
2596,1
2597,1
2598,1
2599,1
2600,1
2601,8
2602,1
2603,1
2604,1
2605,1
2606,1
2607,1
2608,1
2609,1
2610,1
2611,2
2612,1
2613,2
2614,1
2615,1
2616,1
2617,1
2618,1
2619,1
2620,1
2621,1
2622,1
2623,2
2624,1
2625,1
2626,1
2627,1
2628,1
2629,1
2630,3
2631,1
2632,4
2633,1
2634,3
2635,1
2636,1
2637,1
2638,2
2639,3
2640,1
2641,1
2642,1
2643,1
2644,1
2645,1
2646,1
2647,1
2648,1
2649,1
2650,1
2651,1
2652,1
2653,1
2654,1
2655,1
2656,8
2657,1
2658,1
2659,1
2660,4
2661,3
2662,1
2663,1
2664,8
2665,1
2666,1
2667,1
2668,3
2669,1
2670,1
2671,1
2672,1
2673,1
2674,1
2675,1
2676,1
2677,5
2678,2
2679,1
2680,1
2681,1
2682,1
2683,4
2684,1
2685,1
2686,1
2687,1
2688,4
2689,1
2690,1
2691,1
2692,3
2693,1
2694,4
2695,1
2696,3
2697,2
2698,1
2699,1
2700,1
2701,2
2702,2
2703,1
2704,1
2705,1
2706,1
2707,1
2708,4
2709,3
2710,1
2711,4
2712,1
2713,1
2714,1
2715,1
2716,1
2717,2
2718,3
2719,1
2720,1
2721,2
2722,4
2723,1
2724,1
2725,2
2726,1
2727,1
2728,4
2729,1
2730,1
2731,1
2732,1
2733,1
2734,1
2735,1
2736,1
2737,1
2738,1
2739,1
2740,1
2741,1
2742,3
2743,1
2744,1
2745,1
2746,1
2747,1
2748,1
2749,2
2750,2
2751,1
2752,1
2753,1
2754,1
2755,1
2756,9
2757,9
2758,2
2759,5
2760,2
2761,1
2762,1
2763,4
2764,1
2765,1
2766,1
2767,1
2768,2
2769,1
2770,2
2771,1
2772,1
2773,1
2774,1
2775,1
2776,1
2777,1
2778,4
2779,1
2780,1
2781,1
2782,1
2783,1
2784,2
2785,1
2786,1
2787,1
2788,1
2789,1
2790,1
2791,1
2792,1
2793,1
2794,1
2795,1
2796,1
2797,9
2798,1
2799,1
2800,1
2801,1
2802,1
2803,1
2804,1
2805,4
2806,1
2807,1
2808,5
2809,1
2810,1
2811,1
2812,4
2813,1
2814,1
2815,6
2816,1
2817,1
2818,1
2819,1
2820,4
2821,1
2822,1
2823,2
2824,1
2825,1
2826,1
2827,1
2828,1
2829,1
2830,1
2831,1
2832,5
2833,1
2834,6
2835,1
2836,1
2837,2
2838,1
2839,1
2840,1
2841,1
2842,1
2843,1
2844,1
2845,4
2846,1
2847,1
2848,1
2849,6
2850,1
2851,1
2852,1
2853,1
2854,1
2855,1
2856,1
2857,1
2858,1
2859,1
2860,8
2861,1
2862,2
2863,1
2864,1
2865,1
2866,4
2867,1
2868,1
2869,1
2870,1
2871,1
2872,1
2873,1
2874,1
2875,1
2876,1
2877,2
2878,1
2879,1
2880,1
2881,1
2882,1
2883,2
2884,3
2885,2
2886,1
2887,1
2888,1
2889,4
2890,1
2891,1
2892,1
2893,1
2894,1
2895,1
2896,1
2897,1
2898,1
2899,2
2900,1
2901,1
2902,1
2903,1
2904,1
2905,1
2906,2
2907,4
2908,1
2909,3
2910,1
2911,2
2912,1
2913,1
2914,1
2915,2
2916,1
2917,2
2918,1
2919,1
2920,2
2921,1
2922,1
2923,1
2924,1
2925,3
2926,1
2927,1
2928,1
2929,1
2930,1
2931,1
2932,1
2933,1
2934,1
2935,1
2936,1
2937,1
2938,1
2939,3
2940,1
2941,1
2942,1
2943,1
2944,1
2945,2
2946,1
2947,1
2948,1
2949,4
2950,1
2951,1
2952,1
2953,1
2954,1
2955,1
2956,1
2957,1
2958,1
2959,1
2960,1
2961,4
2962,1
2963,2
2964,1
2965,3
2966,3
2967,1
2968,1
2969,2
2970,1
2971,1
2972,3
2973,1
2974,1
2975,1
2976,1
2977,1
2978,4
2979,3
2980,2
2981,1
2982,2
2983,1
2984,7
2985,1
2986,2
2987,1
2988,1
2989,1
2990,1
2991,1
2992,2
2993,3
2994,2
2995,1
